,product_id,count
193,709,139570
9290,39590,44804
71,166,36970
10588,55133,34424
361,1300,32142
32632,3497419,29849
10589,55134,29615
15035,67694,29294
48683,5469728,28971
68,158,27800
33737,3817484,26479
13208,63072,25786
70,165,25563
33768,3817542,24677
51214,5479511,24039
78,176,23603
9291,39591,23285
15656,69669,23257
3782,14564,22984
26523,100789,22207
1040,5217,22150
2617,9959,22096
33741,3817489,20292
17255,72875,18988
1624,7397,18644
1627,7401,18446
32730,3497570,18421
25114,94333,18270
9944,49911,17723
5775,21904,17591
17602,73725,17523
34,100,17133
10517,54728,16142
26538,100849,15909
3817,14630,15831
16808,72006,15808
97,225,15493
96,224,15382
122,304,15272
15239,68465,15121
2646,10049,14869
285,981,14732
5730,21767,14335
16806,72003,14288
6275,24831,14278
69034,7000939,14226
1153,5642,14165
10361,52657,14150
6278,24836,13907
69,159,13883
48690,5469736,13790
2670,10095,13786
9289,39589,13720
95,222,13573
73,170,13567
26532,100812,13530
51479,5481691,13502
8142,31277,13452
4177,15593,13278
189,687,13221
9365,39770,13150
712,2544,12759
14538,66893,12748
9367,39777,12672
9951,49921,12610
16811,72011,12553
33754,3817512,12429
29457,2600083,12408
19294,77094,12274
37,104,12256
12,43,12150
131,399,12074
8199,36067,11865
2615,9950,11862
2636,10016,11727
5728,21757,11609
9669,45584,11509
22,61,11476
9614,45457,11445
7065,26751,11354
15034,67693,11265
39486,4592908,11265
2687,10163,11180
84,182,11124
1019,5182,11037
5147,18887,11015
436,1746,10934
21,60,10887
49574,5476137,10871
25419,95835,10850
139,456,10823
2578,9867,10794
2398,9425,10787
5443,20276,10780
79,177,10771
2133,8547,10672
8069,30361,10575
32395,3302524,10463
25240,95359,10381
181,661,10310
25531,96161,10267
38184,4275810,10243
17493,73492,10212
73640,7036235,10148
10590,55140,10090
6277,24835,10049
55174,6005364,10011
10862,57251,9947
17406,73286,9917
9616,45459,9869
10822,57199,9786
51088,5479153,9700
17584,73697,9650
632,2271,9641
25630,96306,9628
27808,105764,9622
2439,9590,9547
3733,14462,9470
2410,9496,9464
20542,80460,9381
652,2322,9377
43960,5061792,9372
9292,39595,9363
5718,21698,9305
5798,22035,9303
18507,75676,9254
10886,57291,9247
32404,3302557,9220
14929,67499,9203
2673,10115,9196
82,180,9190
2412,9501,9176
116,285,9058
51275,5479853,9036
525,1990,9027
51244,5479797,9003
26533,100813,8923
4122,15441,8883
149,487,8863
19775,78672,8828
29057,201891,8790
19437,77405,8684
4681,17314,8670
12103,59980,8642
3110,12792,8568
22119,85789,8511
3648,14286,8454
521,1985,8426
13867,64712,8424
132,407,8404
27117,102932,8350
741,2600,8268
27128,103039,8263
5640,21503,8261
3881,14770,8217
1154,5649,8199
1009,5154,8166
25094,94227,8166
6290,24852,8158
3905,14836,8148
11458,58170,7980
31,92,7877
36562,4033462,7874
452,1771,7867
2624,9979,7853
33763,3817529,7821
15616,69553,7814
111,261,7797
75302,7048452,7760
17463,73431,7748
2397,9424,7652
13552,63984,7624
57840,6685882,7622
37782,4275036,7618
10587,55130,7587
3190,13120,7568
32689,3497505,7568
179,655,7544
25068,94125,7526
51749,5482163,7480
33739,3817487,7471
215,821,7444
11660,58812,7444
41829,5046957,7412
4036,15145,7404
25573,96223,7356
16313,71049,7355
10887,57292,7344
12190,60116,7330
6284,24842,7320
1024,5187,7307
24851,93684,7288
41846,5046976,7285
5297,19562,7279
12180,60105,7264
7382,27745,7255
14642,67035,7240
437,1747,7213
17579,73690,7168
18609,75906,7164
148,478,7143
91927,13550019,7100
55,138,7094
10885,57290,7079
14297,66088,7078
24667,92786,7070
14821,67326,7064
651,2321,7033
38183,4275808,6996
5642,21511,6994
51205,5479493,6934
18468,75606,6883
9019,38458,6874
19286,77079,6872
14762,67212,6859
14753,67199,6856
55845,6371189,6846
14646,67040,6846
648,2305,6833
1038,5214,6827
10642,56899,6789
65378,6782754,6779
1322,6371,6703
3652,14292,6669
2130,8544,6644
54795,6003958,6601
3205,13168,6590
2575,9859,6581
18621,75924,6573
1626,7399,6556
73635,7036228,6536
9028,38481,6521
25570,96219,6519
2703,10189,6505
3907,14838,6496
13437,63780,6494
14764,67214,6469
16887,72154,6457
3653,14294,6438
63739,6749602,6428
164,584,6409
11457,58169,6392
37779,4275033,6372
11107,57622,6343
29431,2589314,6341
15796,69937,6340
12628,61053,6337
51190,5479458,6335
416,1598,6331
3739,14469,6327
16805,72001,6326
10810,57174,6290
19299,77099,6278
9896,48315,6225
9679,45596,6224
6001,23499,6205
9947,49915,6179
3875,14752,6173
17582,73694,6166
1313,6347,6161
1320,6369,6155
27407,103938,6141
2550,9809,6125
15552,69372,6104
11106,57621,6103
10863,57252,6102
11322,57952,6101
344,1242,6100
25162,94566,6098
25694,96437,6088
9085,38679,6071
6945,26335,6059
40825,5045454,6053
19226,76996,6037
3180,13107,6036
22231,86111,6032
3437,13757,6019
5801,22045,5993
1555,7092,5993
3191,13121,5986
41516,5046530,5968
3640,14264,5957
10001,50028,5954
7010,26616,5943
9352,39726,5936
245,876,5930
29200,1159921,5918
14763,67213,5883
4585,17033,5883
50,130,5877
35530,3850655,5874
14124,65349,5871
2567,9842,5850
12188,60114,5838
12193,60119,5834
25696,96439,5833
91746,13239579,5830
51498,5481726,5819
9329,39666,5817
2583,9881,5813
3312,13487,5804
19409,77313,5800
24337,91432,5788
1510,6951,5762
32969,3563878,5759
33770,3817544,5746
11858,59348,5741
522,1987,5740
14797,67281,5736
533,2005,5718
49599,5476534,5707
413,1590,5684
80924,7324996,5683
10045,50190,5672
53666,5654340,5668
2740,10265,5667
15492,69219,5661
15195,68323,5659
297,1037,5649
3239,13302,5637
35,102,5636
24586,92418,5635
171,615,5633
3791,14583,5628
67321,6805305,5616
4932,18028,5612
3206,13169,5609
16969,72283,5600
16888,72155,5595
14554,66915,5568
1016,5178,5557
14591,66966,5551
461,1787,5536
37160,4202912,5534
3351,13560,5527
70545,7024300,5524
22884,87886,5512
25417,95825,5510
25,73,5510
4271,15935,5508
37876,4275315,5501
32651,3497450,5495
2381,9387,5488
143,461,5488
10917,57342,5480
73645,7036241,5478
11396,58082,5476
754,2628,5460
14500,66843,5459
5626,21450,5455
25459,95961,5448
8429,36593,5445
24139,90518,5438
140,457,5436
446,1765,5425
27270,103441,5421
15800,69943,5404
13671,64176,5394
78078,7064842,5384
1321,6370,5367
5446,20285,5362
5658,21545,5362
13723,64273,5361
5619,21440,5358
32402,3302554,5323
33773,3817549,5318
5304,19924,5310
11553,58358,5308
33750,3817507,5278
11098,57609,5266
8291,36242,5244
39810,4830888,5243
63734,6749597,5237
6299,24866,5231
17454,73414,5212
10884,57289,5164
4090,15373,5162
13191,63034,5153
3186,13113,5148
9465,44802,5099
13,50,5095
9278,39566,5093
19762,78643,5090
32591,3497352,5089
5451,20295,5088
11895,59460,5085
3065,12565,5084
19130,76838,5080
5819,22194,5059
19328,77152,5059
48,127,5055
31258,3048672,5047
10827,57205,5041
6281,24839,5029
81121,7325382,5022
3637,14248,5008
4184,15602,5005
2608,9932,4996
41564,5046594,4996
6999,26590,4992
45645,5073714,4992
5623,21446,4987
24578,92368,4987
5501,20414,4968
6289,24851,4941
14876,67407,4939
13368,63640,4938
39830,4830912,4936
138,455,4931
7014,26621,4929
6618,25645,4928
2437,9571,4918
16913,72196,4915
3307,13481,4905
18489,75641,4896
51477,5481688,4895
7071,26763,4891
1319,6368,4889
1311,6345,4886
2709,10198,4881
25568,96217,4860
2489,9679,4859
3439,13759,4857
2452,9607,4850
34215,3818498,4841
37743,4274956,4839
34093,3818321,4839
4,11,4834
37739,4274952,4827
11368,58030,4825
1303,6337,4819
42791,5051493,4815
8559,37061,4812
